pair_id,hand_path,hand_tag,nail_path,nail_source,out_name
canon_000_palm_down_top_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_palm_down_top_fair_offwhite.png,palm_down_top_fair,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_01.png,enhanced,canon_000_palm_down_top_fair.png
canon_001_palm_down_top_medium,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_palm_down_top_medium_softblue.png,palm_down_top_medium,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/japanese nail art/pinterest_68748946652_2824349183.jpg,pinterest,canon_001_palm_down_top_medium.png
canon_002_palm_down_top_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_palm_down_top_deep_offwhite.png,palm_down_top_deep,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_02.png,enhanced,canon_002_palm_down_top_deep.png
canon_003_fist_thumb_up_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fist_thumb_up_fair_softblue.png,fist_thumb_up_fair,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/korean nails/pinterest_692498880226524008.jpg,pinterest,canon_003_fist_thumb_up_fair.png
canon_004_fist_thumb_up_medium,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fist_thumb_up_medium_offwhite.png,fist_thumb_up_medium,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_03.png,enhanced,canon_004_fist_thumb_up_medium.png
canon_005_fist_thumb_up_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fist_thumb_up_deep_softblue.png,fist_thumb_up_deep,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/japanese nail art/pinterest_15340454977375090.jpg,pinterest,canon_005_fist_thumb_up_deep.png
canon_006_two_hands_clasped_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_two_hands_clasped_fair_softbeige.png,two_hands_clasped_fair,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_04.png,enhanced,canon_006_two_hands_clasped_fair.png
canon_007_two_hands_clasped_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_two_hands_clasped_deep_softpink.png,two_hands_clasped_deep,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/korean nails/pinterest_25895766603386675_2428393608.jpg,pinterest,canon_007_two_hands_clasped_deep.png
canon_008_reaching_down_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_reaching_down_fair_softbeige.png,reaching_down_fair,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_05.png,enhanced,canon_008_reaching_down_fair.png
canon_009_reaching_down_medium,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_reaching_down_medium_softpink.png,reaching_down_medium,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/japanese nail art/pinterest_1063553268267236129.jpg,pinterest,canon_009_reaching_down_medium.png
canon_010_reaching_down_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_reaching_down_deep_softblue.png,reaching_down_deep,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_06.png,enhanced,canon_010_reaching_down_deep.png
canon_011_fingers_cupped_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fingers_cupped_fair_offwhite.png,fingers_cupped_fair,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/korean nails/pinterest_1083749098171059367_2810089693.png,pinterest,canon_011_fingers_cupped_fair.png
canon_012_fingers_cupped_medium,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fingers_cupped_medium_softbeige.png,fingers_cupped_medium,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_07.png,enhanced,canon_012_fingers_cupped_medium.png
canon_013_fingers_cupped_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fingers_cupped_deep_softpink.png,fingers_cupped_deep,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/japanese nail art/pinterest_788763322283007324_3507680840.jpg,pinterest,canon_013_fingers_cupped_deep.png
canon_014_palm_down_top_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_palm_down_top_fair_offwhite.png,palm_down_top_fair,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_08.png,enhanced,canon_014_palm_down_top_fair.png
canon_015_palm_down_top_medium,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_palm_down_top_medium_softblue.png,palm_down_top_medium,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/korean nails/pinterest_1055531231426390733_2741059037.jpg,pinterest,canon_015_palm_down_top_medium.png
canon_016_palm_down_top_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_palm_down_top_deep_offwhite.png,palm_down_top_deep,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_09.png,enhanced,canon_016_palm_down_top_deep.png
canon_017_fist_thumb_up_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fist_thumb_up_fair_softblue.png,fist_thumb_up_fair,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/japanese nail art/pinterest_29414203814056586_951071212.jpg,pinterest,canon_017_fist_thumb_up_fair.png
canon_018_fist_thumb_up_medium,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fist_thumb_up_medium_offwhite.png,fist_thumb_up_medium,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_10.png,enhanced,canon_018_fist_thumb_up_medium.png
canon_019_fist_thumb_up_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_fist_thumb_up_deep_softblue.png,fist_thumb_up_deep,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/korean nails/pinterest_307652218315003374.jpg,pinterest,canon_019_fist_thumb_up_deep.png
canon_020_two_hands_clasped_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_two_hands_clasped_fair_softbeige.png,two_hands_clasped_fair,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_11.png,enhanced,canon_020_two_hands_clasped_fair.png
canon_021_two_hands_clasped_deep,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_two_hands_clasped_deep_softpink.png,two_hands_clasped_deep,/Users/nev4rb14su/workspace/dataset/nails_agent/raw/nails/pinterest/Search/japanese nail art/pinterest_257760778667572002_3836751026.jpg,pinterest,canon_021_two_hands_clasped_deep.png
canon_022_reaching_down_fair,/Users/nev4rb14su/workspace/meituan-nails/data/hand_models/pool/hand_reaching_down_fair_softbeige.png,reaching_down_fair,/Users/nev4rb14su/workspace/meituan-nails/data/enhanced_style_12.png,enhanced,canon_022_reaching_down_fair.png
