pair_id,ok,msg,elapsed_s
canon_003_fist_thumb_up_fair,True,ok,22.94
canon_005_fist_thumb_up_deep,True,ok,40.19
canon_001_palm_down_top_medium,True,ok,59.11
canon_000_palm_down_top_fair,True,ok,81.11
canon_004_fist_thumb_up_medium,True,ok,100.33
canon_002_palm_down_top_deep,True,ok,119.28
canon_006_two_hands_clasped_fair,True,ok,119.72
canon_007_two_hands_clasped_deep,True,ok,125.42
canon_008_reaching_down_fair,True,ok,140.53
canon_009_reaching_down_medium,True,ok,138.0
canon_010_reaching_down_deep,True,ok,138.69
canon_011_fingers_cupped_fair,True,ok,137.1
canon_012_fingers_cupped_medium,True,ok,129.55
canon_013_fingers_cupped_deep,True,ok,124.73
canon_014_palm_down_top_fair,True,ok,109.6
canon_015_palm_down_top_medium,True,ok,110.76
canon_016_palm_down_top_deep,True,ok,110.04
canon_017_fist_thumb_up_fair,True,ok,108.12
canon_018_fist_thumb_up_medium,True,ok,118.01
canon_019_fist_thumb_up_deep,True,ok,117.91
canon_020_two_hands_clasped_fair,True,ok,120.46
canon_021_two_hands_clasped_deep,True,ok,121.09
canon_022_reaching_down_fair,True,ok,119.15
canon_023_reaching_down_medium,True,ok,122.78
canon_024_reaching_down_deep,True,ok,115.87
canon_025_fingers_cupped_fair,True,ok,116.83
canon_026_fingers_cupped_medium,True,ok,121.38
canon_027_fingers_cupped_deep,True,ok,118.38
canon_028_palm_down_top_fair,True,ok,122.85
canon_029_palm_down_top_medium,True,ok,121.4
canon_030_palm_down_top_deep,True,ok,122.44
canon_031_fist_thumb_up_fair,True,ok,123.24
canon_032_fist_thumb_up_medium,True,ok,117.98
canon_033_fist_thumb_up_deep,True,ok,123.9
canon_034_two_hands_clasped_fair,True,ok,120.54
canon_035_two_hands_clasped_deep,True,ok,150.82
canon_036_reaching_down_fair,True,ok,151.27
canon_037_reaching_down_medium,True,ok,153.01
canon_038_reaching_down_deep,True,ok,156.67
canon_039_fingers_cupped_fair,True,ok,151.32
canon_040_fingers_cupped_medium,True,ok,153.85
canon_041_fingers_cupped_deep,True,ok,127.92
canon_042_palm_down_top_fair,True,ok,131.63
canon_043_palm_down_top_medium,True,ok,128.49
canon_044_palm_down_top_deep,True,ok,123.29
canon_045_fist_thumb_up_fair,True,ok,128.57
canon_046_fist_thumb_up_medium,True,ok,133.58
canon_047_fist_thumb_up_deep,True,ok,134.25
canon_048_two_hands_clasped_fair,True,ok,129.11
canon_049_two_hands_clasped_deep,True,ok,129.29
canon_050_reaching_down_fair,True,ok,134.24
canon_051_reaching_down_medium,True,ok,130.25
canon_052_reaching_down_deep,True,ok,126.03
canon_053_fingers_cupped_fair,True,ok,129.35
canon_054_fingers_cupped_medium,True,ok,139.02
canon_055_fingers_cupped_deep,True,ok,145.42
canon_056_palm_down_top_fair,True,ok,143.94
canon_057_palm_down_top_medium,True,ok,141.29
canon_058_palm_down_top_deep,True,ok,142.28
canon_059_fist_thumb_up_fair,True,ok,139.28
canon_060_fist_thumb_up_medium,True,ok,133.68
canon_061_fist_thumb_up_deep,True,ok,131.94
canon_062_two_hands_clasped_fair,True,ok,127.42
canon_063_two_hands_clasped_deep,True,ok,127.62
canon_064_reaching_down_fair,True,ok,130.04
canon_065_reaching_down_medium,True,ok,124.91
canon_066_reaching_down_deep,True,ok,119.56
canon_067_fingers_cupped_fair,True,ok,111.36
canon_068_fingers_cupped_medium,True,ok,114.67
canon_069_fingers_cupped_deep,True,ok,117.32
canon_070_palm_down_top_fair,True,ok,117.11
canon_071_palm_down_top_medium,True,ok,120.49
canon_072_palm_down_top_deep,True,ok,119.67
canon_073_fist_thumb_up_fair,True,ok,121.4
canon_074_fist_thumb_up_medium,True,ok,121.06
canon_075_fist_thumb_up_deep,True,ok,121.09
canon_076_two_hands_clasped_fair,True,ok,119.67
canon_077_two_hands_clasped_deep,True,ok,116.06
canon_078_reaching_down_fair,True,ok,117.8
canon_079_reaching_down_medium,True,ok,120.48
canon_080_reaching_down_deep,True,ok,9.74
canon_085_palm_down_top_medium,True,ok,11.92
canon_081_fingers_cupped_fair,True,ok,20.28
canon_082_fingers_cupped_medium,True,ok,25.18
canon_083_fingers_cupped_deep,True,ok,32.78
canon_084_palm_down_top_fair,True,ok,39.31
canon_086_palm_down_top_deep,True,ok,52.74
canon_087_fist_thumb_up_fair,True,ok,75.9
canon_088_fist_thumb_up_medium,True,ok,94.43
canon_089_fist_thumb_up_deep,True,ok,113.91
canon_090_two_hands_clasped_fair,True,ok,128.02
canon_091_two_hands_clasped_deep,True,ok,143.88
canon_092_reaching_down_fair,True,ok,143.35
canon_093_reaching_down_medium,True,ok,138.77
canon_094_reaching_down_deep,True,ok,130.23
canon_095_fingers_cupped_fair,True,ok,130.87
canon_096_fingers_cupped_medium,True,ok,130.38
canon_097_fingers_cupped_deep,True,ok,138.8
canon_098_palm_down_top_fair,True,ok,134.5
canon_099_palm_down_top_medium,True,ok,133.85
